ruby_ver,platform,test_variant,Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
ruby187p72,linux,custom-64kbuffer-select,chicago,net/http,chicago with net/http,11266,1249.7469289537,6970,1655,21900,128,1.11,0.15,1.26,9.01462507247925
ruby187p72,linux,custom-64kbuffer-select,dallas,net/http,dallas with net/http,11266,10229.2457284001,3889,2966,65536,352,0.63,0.12,0.75,1.10135197639465
ruby187p72,linux,custom-64kbuffer-select,london,net/http,london with net/http,11266,279.62141003843,7193,1603,27740,972,1.06,0.16,1.22,40.2901909351349
ruby187p72,linux,custom-64kbuffer-select,washdc,net/http,washdc with net/http,11266,838.983154813009,6942,1661,21900,924,1.0,0.13,1.13,13.4281599521637
ruby187p72,linux,custom-64kbuffer-select,seattle,rfuzz,seattle with rfuzz,11266,569.185979673714,705,16363,16384,2048,0.04,0.25,0.29,19.7931790351868
ruby187p72,linux,custom-64kbuffer-select,chicago,rfuzz,chicago with rfuzz,11266,1254.7557535892,706,16340,16384,960,0.0499999999999998,0.22,0.27,8.97863984107971
ruby187p72,linux,custom-64kbuffer-select,dallas,rfuzz,dallas with rfuzz,11266,10537.7190175238,705,16363,16384,2048,0.04,0.26,0.3,1.06911182403564
ruby187p72,linux,custom-64kbuffer-select,london,rfuzz,london with rfuzz,11266,279.743561419007,705,16363,16384,2048,0.0499999999999998,0.25,0.3,40.272598028183
ruby187p72,linux,custom-64kbuffer-select,washdc,rfuzz,washdc with rfuzz,11266,849.211898556145,705,16363,16384,2048,0.04,0.23,0.27,13.2664179801941
ruby187p72,linux,custom-64kbuffer,seattle,libcurl,seattle with libcurl,11266,567.276810469744,7859,1467,7300,924,0.13,0.15,0.28,19.8597929477692
ruby187p72,linux,custom-64kbuffer,chicago,libcurl,chicago with libcurl,11266,1269.05328097595,7834,1472,16384,696,0.1,0.14,0.24,8.87748384475708
ruby187p72,linux,custom-64kbuffer,dallas,libcurl,dallas with libcurl,11266,3941.50932063412,7676,1502,16384,240,0.15,0.16,0.31,2.85829591751099
ruby187p72,linux,custom-64kbuffer,london,libcurl,london with libcurl,11266,277.119975100328,7815,1476,16060,884,0.15,0.14,0.29,40.653872013092
ruby187p72,linux,custom-64kbuffer,washdc,libcurl,washdc with libcurl,11266,366.42107660996,7851,1469,7300,116,0.13,0.17,0.3,30.7460479736328
ruby187p72,linux,custom-64kbuffer,seattle,net/http,seattle with net/http,11266,542.738981588763,7108,1623,65273,924,1.18,0.25,1.43,20.7576761245728
ruby187p72,linux,custom-64kbuffer,chicago,net/http,chicago with net/http,11266,1238.23058950987,7197,1602,30660,892,1.14,0.23,1.37,9.09846687316895
ruby187p72,linux,custom-64kbuffer,dallas,net/http,dallas with net/http,11266,9245.33890926864,4440,2598,65536,1460,0.79,0.18,0.97,1.21855998039246
ruby187p72,linux,custom-64kbuffer,london,net/http,london with net/http,11266,259.265318724494,7217,1598,30660,428,1.17,0.24,1.41,43.4535558223724
ruby187p72,linux,custom-64kbuffer,washdc,net/http,washdc with net/http,11266,879.966777265969,7317,1576,16060,924,1.15,0.23,1.38,12.8027560710907
ruby187p72,linux,custom-64kbuffer,seattle,rfuzz,seattle with rfuzz,11266,574.392489892981,705,16363,16384,2048,0.0599999999999996,0.25,0.31,19.6137661933899
ruby187p72,linux,custom-64kbuffer,chicago,rfuzz,chicago with rfuzz,11266,1263.84821698495,706,16340,16384,960,0.0300000000000002,0.22,0.25,8.91404509544373
ruby187p72,linux,custom-64kbuffer,dallas,rfuzz,dallas with rfuzz,11266,10646.3218615021,705,16363,16384,2048,0.0299999999999994,0.33,0.359999999999999,1.0582058429718
ruby187p72,linux,custom-64kbuffer,london,rfuzz,london with rfuzz,11266,278.336074845493,705,16363,16384,2048,0.0500000000000007,0.22,0.27,40.4762480258942
ruby187p72,linux,custom-64kbuffer,washdc,rfuzz,washdc with rfuzz,11266,875.431650252032,705,16363,16384,2048,0.0499999999999998,0.23,0.28,12.8690800666809
ruby187p72,linux,stock,seattle,libcurl,seattle with libcurl,11266,527.280642928262,7820,1475,7300,376,0.11,0.19,0.3,21.3662309646606
ruby187p72,linux,stock,chicago,libcurl,chicago with libcurl,11266,1220.69720421942,7813,1476,16384,72,0.14,0.15,0.29,9.22915196418762
ruby187p72,linux,stock,dallas,libcurl,dallas with libcurl,11266,9443.58729871959,4629,2492,16384,812,0.07,0.07,0.14,1.19297885894775
ruby187p72,linux,stock,london,libcurl,london with libcurl,11266,226.067827109835,7741,1490,16384,492,0.14,0.15,0.29,49.8346011638641
ruby187p72,linux,stock,washdc,libcurl,washdc with libcurl,11266,869.878364632619,7858,1468,16060,924,0.14,0.18,0.32,12.9512360095978
ruby187p72,linux,stock,seattle,net/http,seattle with net/http,11266,568.395409348313,7583,1521,16384,924,1.0,0.26,1.26,19.820708990097
ruby187p72,linux,stock,chicago,net/http,chicago with net/http,11266,1254.67216240689,7518,1534,16384,1088,0.95,0.23,1.18,8.97923803329468
ruby187p72,linux,stock,dallas,net/http,dallas with net/http,11266,9261.38275713585,5794,1991,16384,924,0.76,0.21,0.97,1.21644902229309
ruby187p72,linux,stock,london,net/http,london with net/http,11266,250.632298731707,7552,1527,16384,1136,0.95,0.26,1.21,44.9503118991852
ruby187p72,linux,stock,washdc,net/http,washdc with net/http,11266,835.528771184822,7637,1510,16384,932,0.99,0.26,1.25,13.4836769104004
ruby187p72,linux,stock,seattle,rfuzz,seattle with rfuzz,11266,570.770585526821,705,16363,16384,2048,0.0299999999999994,0.23,0.259999999999999,19.7382280826569
ruby187p72,linux,stock,chicago,rfuzz,chicago with rfuzz,11266,1254.25493947022,706,16340,16384,960,0.04,0.25,0.29,8.98222494125366
ruby187p72,linux,stock,dallas,rfuzz,dallas with rfuzz,11266,9085.24273616512,705,16363,16384,2048,0.0300000000000002,0.25,0.28,1.24003291130066
ruby187p72,linux,stock,london,rfuzz,london with rfuzz,11266,251.998512701452,705,16363,16384,2048,0.0499999999999998,0.22,0.27,44.7066130638123
ruby187p72,linux,stock,washdc,rfuzz,washdc with rfuzz,11266,857.812315144218,705,16363,16384,2048,0.04,0.24,0.28,13.1334090232849
